mag,da,alpha,xc,yc,a,R,N0,axf,AR,lead,sig,alphab,sar,flux,fluxp,fluxn,fint,lat,spt
24.0,0.2666594675073404,-0.0431719739636368,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-4.7429261265232805,12.168045805090165,9.57450917163567e+20,6.112743265489032e+20,1.3036275077782307e+21,0.0958132929729804,16,1
25.0,0.2777702164973064,-0.0433215802509571,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-1.615862287017409,17.544395656267454,1.0440872164011332e+21,6.804258556481214e+20,1.4077485771541452e+21,0.10448309418381953,16,1
26.0,0.2888809654872725,-0.0434711865382774,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-2.22821406162629,19.255370930027112,1.1865233212993763e+21,7.829414038207302e+20,1.5901052387780225e+21,0.11873685069906248,16,1
27.0,0.2999917144772385,-0.0436207928255977,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-0.8578488968207553,19.06832589514977,1.3412792418572719e+21,9.443142486868289e+20,1.738244235027715e+21,0.13422346634683235,16,1
28.0,0.3111024634672047,-0.043770399112918,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-2.5482275419024143,19.4924117438957,1.488960404904681e+21,1.1020593614469756e+21,1.8758614483623863e+21,0.14900210229359245,16,1
29.0,0.3222132124571709,-0.0439200054002382,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-2.2794021175142416,18.957361048305064,1.7068258859211146e+21,1.3208404147756985e+21,2.0928113570665307e+21,0.17080416941486792,16,1
30.0,0.3333239614471371,-0.0440696116875585,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-2.601805283479868,21.716986934485018,1.932328979237992e+21,1.4441551906516013e+21,2.4205027678243825e+21,0.19337054180948768,16,1
31.0,0.3444347104371034,-0.0442192179748788,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-3.704436658208983,22.028090315542862,2.2397873494395275e+21,1.7599480011435333e+21,2.719626697735522e+21,0.22413827974051964,16,1
32.0,0.3555454594270696,-0.0443688242621991,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-4.4941586617170985,22.6403297854733,2.5304032033206625e+21,2.0136114314631635e+21,3.0471949751781614e+21,0.2532205663114031,16,1
33.0,0.3666562084170359,-0.0445184305495194,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-4.786913831280595,23.211479945903715,2.8938498264873094e+21,2.3251413715231388e+21,3.4625582814514795e+21,0.2895911177007829,16,1
34.0,0.3777669574070022,-0.0446680368368396,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.702984247512902,23.52913731559378,3.176651335486425e+21,2.6669205398310827e+21,3.6863821311417673e+21,0.31789141315112834,16,1
35.0,0.3888777063969685,-0.0448176431241599,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.485946111347806,24.225164792600175,3.439434180618406e+21,2.929126991085515e+21,3.949741370151297e+21,0.34418841624293545,16,1
36.0,0.3999884553869346,-0.0449672494114802,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.732680118340674,25.385983864480792,3.656457895128345e+21,3.1616636601461946e+21,4.1512521301104955e+21,0.3659062467527504,16,1
37.0,0.4110992043769008,-0.0451168556988004,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.495273543629172,26.885106910139154,3.8998942206727857e+21,3.474098198541701e+21,4.32569024280387e+21,0.39026721979223905,16,1
38.0,0.4222099533668669,-0.0452664619861207,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.476466361770019,27.77090926143591,4.1150388204294164e+21,3.7705143983866066e+21,4.4595632424722256e+21,0.4117970049733995,16,1
39.0,0.433320702356833,-0.045416068273441,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.733936775382684,28.85808328943947,4.309599033775614e+21,3.9107629187651883e+21,4.708435148786039e+21,0.43126688524407675,16,1
40.0,0.4444314513467991,-0.0455656745607613,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.657953928239068,29.570254081164165,4.4913555009929027e+21,4.18748825948165e+21,4.795222742504155e+21,0.44945547886390924,16,1
41.0,0.4555422003367652,-0.0457152808480816,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.763560351347915,30.022206688738226,4.7092788594671606e+21,4.4638308983315083e+21,4.954726820602813e+21,0.47126333785370106,16,1
42.0,0.4666529493267313,-0.0458648871354019,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.341945543721328,30.416456804109664,4.992674987704793e+21,4.776642884212843e+21,5.208707091196743e+21,0.49962313758388593,16,1
43.0,0.4777636983166974,-0.0460144934227221,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-5.086109336648821,30.744886825698266,5.280502766246866e+21,5.020327053304301e+21,5.540678479189432e+21,0.528426418020352,16,1
44.0,0.4888744473066636,-0.0461640997100424,50.37096730702383,27.562845044410867,9.305508357320605,20.82908240090756,-0.0969705414687606,7.780385698165845e+21,10344,1,220.12417203812225,-4.854748885752481,31.47414822524565,5.551511054312992e+21,5.316205753231673e+21,5.786816355394311e+21,0.5555465513212944,16,1
