mag,da,alpha,a,R,N0,axf,xc,yc,alphab,Dalpha,Dalphab,MSP,MSN,sar,lsep,fsep,lsize,fsize,am,elon,lead,flux,fluxp,fluxn,fint,lat,AR,spt,day
6.0,0.1762574891164409,-0.07030541736583823,11.140704226594329,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,78.05964136914517,47.531421096809495,-11.686045084277094,-2.5881637301866665,-6.52977835423147,16.492734085953547,17.058652977903844,46.303624184360935,25.62949941074197,20.67412477361896,16.492734085953547,17.058652977903844,11.15005019046652,0.17456846669505321,1,1.2450447531060924e+22,1.1118011182869243e+22,1.3782883879252606e+22,0.4628475005782976,28,8214,1,1.0
7.0,0.18047040685196689,-0.07325858027849028,11.091167894492566,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,78.56279259465697,47.62540768275353,-11.646594246514319,-2.7573675012961902,-6.490327516468695,16.406019224611644,17.267204025388192,47.13818516356576,26.155979352525172,20.982205811040583,16.406019224611644,17.267204025388192,11.357808881154028,0.17598285207053338,1,1.2666115500946603e+22,1.1275913204765787e+22,1.405631779712742e+22,0.470864993970993,28,8214,1,1.0
8.0,0.18503644423460341,-0.07306111127747572,11.1819072525664,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,79.39823227233411,47.53835899995037,-11.874069861687374,-2.7460533609533915,-6.717803131641751,16.230627733007832,17.810529908445222,47.26984016389204,26.077362158542527,21.19247800534951,16.230627733007832,17.810529908445222,11.517571957071427,0.1805912007997978,1,1.291295529356041e+22,1.1578525338525642e+22,1.4247385248595177e+22,0.4800413051653932,28,8214,1,1.0
9.0,0.18862466192530308,-0.07590019445238956,11.19322853415249,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,80.0149946077784,47.61312401096638,-11.855728418701736,-2.9087208445625565,-6.699461688656112,16.327328476208947,18.09922168983768,47.260004611094885,26.142433145938746,21.117571465156143,16.327328476208947,18.09922168983768,11.626090098270682,0.18819465360854454,1,1.3192066471446637e+22,1.1789436280269147e+22,1.4594696662624126e+22,0.49041731058574584,28,8214,1,1.0
10.0,0.19417264589990865,-0.07496080593530977,11.234671027044655,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,80.82953731463296,47.64361465660601,-11.728630058587173,-2.8548978472108315,-6.57236332854155,16.416572134384786,18.494709416037765,47.49279727612794,26.054482104090912,21.438315172037026,16.416572134384786,18.494709416037765,12.01653083640728,0.19390989858919605,1,1.3617910427904903e+22,1.2294287659688555e+22,1.4941533196121251e+22,0.5062481319591432,28,8214,1,1.0
11.0,0.19928567467898883,-0.07113036320289366,11.27912628061538,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,81.45760463514222,47.6615693403264,-11.373222203559092,-2.6354296449768295,-6.216955473513468,16.520961808157335,18.595849760800228,48.12648423123284,26.063030142667266,22.063454088565567,16.520961808157335,18.595849760800228,12.226901277628347,0.19409056892235657,1,1.3889725149703995e+22,1.2735412446538412e+22,1.5044037852869578e+22,0.5163528903857967,28,8214,1,1.0
12.0,0.20137104165289893,-0.07282279004372104,11.1960191637078,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,81.9534106326745,47.69039312450748,-11.48997738000698,-2.7323985600908975,-6.333710649961357,16.029719383120298,18.691877173101037,48.69937200093745,26.4412853903279,22.258086610609553,16.029719383120298,18.691877173101037,12.419077226991867,0.19480313708678698,1,1.419710010369527e+22,1.2977591732454382e+22,1.5416608474936161e+22,0.5277796064809658,28,8214,1,1.0
13.0,0.20605899548772905,-0.06898421511564157,11.218400472120111,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,82.36035690947274,47.61521350196675,-11.163615047370012,-2.51246441736721,-6.0073483173243885,16.18264138054548,18.62221418708062,49.52658793268635,26.775077274528627,22.751510658157716,16.18264138054548,18.62221418708062,12.486267393369772,0.19399548578447945,1,1.4335647398129811e+22,1.3171011700359243e+22,1.550028309590038e+22,0.5329301256716159,28,8214,1,1.0
14.0,0.20812302022727092,-0.06831313687258735,11.132690062770058,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,82.80090606999939,47.48972124094684,-11.148274626472732,-2.474014466317149,-5.992007896427109,16.07158086342203,18.80612394189296,49.796690824237245,27.00516443212483,22.79152639211242,16.07158086342203,18.80612394189296,12.598853783999802,0.19372026000536477,1,1.470944146651198e+22,1.3464775182774434e+22,1.5954107750249526e+22,0.5468259836196987,28,8214,1,2.0
15.0,0.21115551308849692,-0.06585678453951516,11.105343164781084,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,83.05662963618322,47.494036784567975,-10.929615893207513,-2.3332758446349993,-5.77334916316189,16.119833363615346,18.766939919392723,50.542250263735774,27.38415780408056,23.15809245965521,16.119833363615346,18.766939919392723,12.5690607835723,0.1909602296186469,1,1.4918307541246674e+22,1.367092060915399e+22,1.616569447333936e+22,0.5545906154054538,28,8214,1,2.0
16.0,0.21439623818042208,-0.06360643565844958,11.040664901835113,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,83.289958026858,47.41686124588487,-10.838986082457057,-2.204340351317954,-5.682719352411433,16.395558819922314,18.30860673361985,51.29426241601571,27.511852214096617,23.78241020191909,16.395558819922314,18.30860673361985,12.463145681753257,0.18098138251412693,1,1.5211479058789226e+22,1.4105500994242697e+22,1.6317457123335756e+22,0.5654893163394398,28,8214,1,2.0
17.0,0.2173954626187999,-0.06312891308733448,10.977949620291211,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,83.58993455808854,47.41978059482148,-10.848210700136256,-2.176980323370824,-5.691943970090633,16.317273383472653,18.30974160003904,51.910491327347756,27.76509016420238,24.145401163145376,16.317273383472653,18.30974160003904,12.27985602655432,0.18058215283671225,1,1.5531924661305403e+22,1.4448892398958952e+22,1.6614956923651852e+22,0.5774019360124196,28,8214,1,2.0
18.0,0.22125529022324752,-0.06207480647592822,10.91446319800107,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,83.96846911808755,47.3776744638496,-10.694150581223271,-2.1165844633804074,-5.537883851177647,16.113711193983605,18.443008562085623,52.75297570187811,28.088514652853817,24.664461049024293,16.113711193983605,18.443008562085623,12.216170206426582,0.1799742852767164,1,1.568576142868262e+22,1.4667640891706375e+22,1.6703881965658865e+22,0.5831208439552831,28,8214,1,2.0
19.0,0.22464572696205568,-0.0630745275914138,10.80433946744594,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,84.37628512827847,47.28432022591248,-10.63422101700642,-2.1738642639878427,-5.477954286960796,16.291098253403216,18.443874312033053,53.23294832166445,28.031185787123217,25.201762534541235,16.291098253403216,18.443874312033053,12.012493833251911,0.1785106364863394,1,1.6032747168578555e+22,1.5180578933082153e+22,1.6884915404074956e+22,0.5960200977408584,28,8214,1,2.0
20.0,0.22804260177526042,-0.060170429164253,10.723433753273845,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,84.5516395084673,47.34688481500665,-10.538145363334674,-2.0074716808209483,-5.381878633289051,16.542445003259008,18.536008536116206,53.560440811174836,28.06158914005596,25.498851671118874,16.542445003259008,18.536008536116206,12.004008484397577,0.18402667913963633,1,1.6139522693128719e+22,1.536728559220083e+22,1.691175979405661e+22,0.5999894959924222,28,8214,1,2.0
21.0,0.23183953225992943,-0.0593834569743831,10.571278757409026,70.30565660365066,0.9088892107543088,1.6050121703171897e+22,84.70901656508121,47.35332920325332,-10.311017593740155,-1.962381495747235,-5.154750863694532,16.835977365675866,18.602606350690102,53.69220107627262,28.145613143606155,25.546587932666462,16.835977365675866,18.602606350690102,11.933211583254614,0.18481327070295359,1,1.653358694704027e+22,1.5733261975419565e+22,1.7333911918660976e+22,0.6146389015286642,28,8214,1,2.0
